Constituency,Const. No.,Leading Candidate,Leading Party,Trailing Candidate,Trailing Party,Margin,Round,Status
Pulivendla,129,YS JAGAN MOHAN REDDY,Yuvajana Sramika Rythu Congress Party,B.TECH RAVI,Telugu Desam,61687,23/23,Result Declared
Punganur,165,PEDDIREDDI RAMACHANDRA REDDY,Yuvajana Sramika Rythu Congress Party,CHALLA RAMACHANDRA REDDY,Telugu Desam,6095,19/19,Result Declared
Puthalapattu (SC),173,K MURALI MOHAN,Telugu Desam,M SUNEEL KUMAR,Yuvajana Sramika Rythu Congress Party,15634,20/20,Result Declared
Puttaparthi,159,PALLE SINDHURA REDDY,Telugu Desam,DUDDUKUNTA SREEDHAR REDDY,Yuvajana Sramika Rythu Congress Party,8760,18/18,Result Declared
Rajahmundry City,50,ADIREDDY SRINIVAS,Telugu Desam,MARGANI BHARAT RAM,Yuvajana Sramika Rythu Congress Party,71404,18/18,Result Declared
Rajahmundry Rural,51,GORANTLA BUTCHAIAH CHOUDARY,Telugu Desam,GOPALAKRISHNA CHELLUBOYINA(VENU),Yuvajana Sramika Rythu Congress Party,64090,20/20,Result Declared
Rajam,9,KONDRU MURALI MOHAN,Telugu Desam,DR. TALE RAJESH,Yuvajana Sramika Rythu Congress Party,20722,21/21,Result Declared
Rajampet,125,AKEPATI AMARNATH REDDY,Yuvajana Sramika Rythu Congress Party,BALA SUBRAMANYAM SUGAVASI,Telugu Desam,7016,21/21,Result Declared
Rajanagaram,49,BATHULA BALARAMAKRISHNA S/O GANGARAO,Janasena Party,JAKKAMPUDI RAJA,Yuvajana Sramika Rythu Congress Party,34049,16/16,Result Declared
Ramachandrapuram,42,VASAMSETTI. SUBASH,Telugu Desam,PILLI SURYA PRAKASH,Yuvajana Sramika Rythu Congress Party,26291,25/25,Result Declared
Rampachodavaram,53,MIRIYALA SIRISHA DEVI,Telugu Desam,NAGULAPALLI DHANALAKSHMI,Yuvajana Sramika Rythu Congress Party,9139,20/20,Result Declared
Raptadu,155,PARITALA SUNITHAMMA,Telugu Desam,THOPUDURTHI PRAKASH REDDY,Yuvajana Sramika Rythu Congress Party,23329,21/21,Result Declared
Rayachoti,128,MANDIPALLI RAMPRASAD REDDY,Telugu Desam,GADIKOTA SRIKANTH REDDY,Yuvajana Sramika Rythu Congress Party,2495,21/21,Result Declared
Rayadurg,148,KALAVA SRINIVASULU,Telugu Desam,METTU GOVINDA REDDY,Yuvajana Sramika Rythu Congress Party,41659,22/22,Result Declared
Razole,45,DEVA VARAPRASAD,Janasena Party,GOLLAPALLI SURYA RAO,Yuvajana Sramika Rythu Congress Party,39011,16/16,Result Declared
Repalle,90,ANAGANI SATYA PRASAD,Telugu Desam,EVURU GANESH,Yuvajana Sramika Rythu Congress Party,39947,19/19,Result Declared
Salur,13,GUMMIDI SANDHYARANI,Telugu Desam,RAJANNA DORA PEEDIKA,Yuvajana Sramika Rythu Congress Party,13733,18/18,Result Declared
Santhanuthalapadu (SC),107,VIJAY KUMAR B.N,Telugu Desam,NAGARJUNA MERUGU,Yuvajana Sramika Rythu Congress Party,30385,20/20,Result Declared
Sarvepalli,119,CHANDRA MOHAN REDDY SOMIREDDY,Telugu Desam,KAKANI GOVARDHAN REDDY,Yuvajana Sramika Rythu Congress Party,16288,21/21,Result Declared
Sattenapalle,98,KANNA LAKSHMINARAYANA,Telugu Desam,AMBATI RAMBABU,Yuvajana Sramika Rythu Congress Party,27836,21/21,Result Declared
