Constituency,Const. No.,Leading Candidate,Leading Party,Trailing Candidate,Trailing Party,Margin,Round,Status
Along (East),31,KENTO JINI,Bharatiya Janata Party,JARKAR GAMLIN,People's Party of Arunachal,3158,4/4,Result Declared
Along (West),30,TOPIN ETE,Bharatiya Janata Party,NYAMO ETE,National People's Party,1951,4/4,Result Declared
Anini,41,MOPI MIHU,Bharatiya Janata Party,ERI TAYU,Independent,1173,5/5,Result Declared
Bameng,8,KUMAR WAII,Indian National Congress,DOBA LAMNIO,Bharatiya Janata Party,635,4/4,Result Declared
Basar,29,NYABI JINI DIRCHI,Bharatiya Janata Party,GOKAR BASAR,National People's Party,1791,5/5,Result Declared
Bomdila,7,DONGRU SIONGJU,Bharatiya Janata Party,-,-,-,-,Uncontested
Bordumsa-Diyun,49,NIKH KAMIN,Nationalist Congress Party,SOMLUNG MOSSANG,Bharatiya Janata Party,1352,5/5,Result Declared
Borduria-Bogapani,57,WANGLIN LOWANGDONG,Bharatiya Janata Party,JOWANG HOSAI,Nationalist Congress Party,1452,3/3,Result Declared
Changlang(North),53,TESAM PONGTE,Bharatiya Janata Party,DIHOM KITNYA,National People's Party,2002,6/6,Result Declared
Changlang(South),52,HAMJONG TANGHA,Bharatiya Janata Party,TIMPU NGEMU,National People's Party,1482,6/6,Result Declared
Chayangtajo,9,HAYENG MANGFI,Bharatiya Janata Party,KOMPU DOLO,Indian National Congress,6685,4/4,Result Declared
Chowkham,46,CHOWNA MEIN,Bharatiya Janata Party,-,-,-,-,Uncontested
Dambuk,42,PUINNYO APUM,Bharatiya Janata Party,RAJU TAYENG,People's Party of Arunachal,222,4/4,Result Declared
Daporijo,24,TANIYA SOKI,Bharatiya Janata Party,DIKTO YEKAR,National People's Party,228,4/4,Result Declared
Dirang,4,PHURPA TSERING,Bharatiya Janata Party,YESHI TSEWANG,National People's Party,1202,6/6,Result Declared
Doimukh,14,NABAM VIVEK,People's Party of Arunachal,TANA HALI TARA,Bharatiya Janata Party,2530,3/3,Result Declared
Dumporijo,26,RODE BUI,Bharatiya Janata Party,TABE DONI,National People's Party,1591,4/4,Result Declared
Hayuliang,45,DASANGLU PUL,Bharatiya Janata Party,-,-,-,-,Uncontested
Itanagar,13,TECHI KASO,Bharatiya Janata Party,-,-,-,-,Uncontested
Kalaktang,5,TSETEN CHOMBAY KEE,Bharatiya Janata Party,WANGDI DORJEE KHRIMEY,Nationalist Congress Party,2869,6/6,Result Declared
