Constituency,Const. No.,Leading Candidate,Leading Party,Trailing Candidate,Trailing Party,Margin,Round,Status
Kanubari,58,GABRIEL DENWANG WANGSU,Bharatiya Janata Party,PANJAM WANGSA,National People's Party,2059,4/4,Result Declared
Khonsa (West),56,CHAKAT ABOH,Bharatiya Janata Party,YANG SEN MATEY,Nationalist Congress Party,804,3/3,Result Declared
Khonsa(East),55,WANGLAM SAWIN,Independent,KAMRANG TESIA,Bharatiya Janata Party,2216,4/4,Result Declared
Koloriang,21,PANI TARAM,Bharatiya Janata Party,KAHFA BENGIA,People's Party of Arunachal,10550,5/5,Result Declared
Lekang,48,LIKHA SONI,Nationalist Congress Party,CHOW SUJANA NAMCHOOM,Bharatiya Janata Party,654,4/4,Result Declared
Likabali(ST),28,KARDO NYIGYOR,Bharatiya Janata Party,MOLI RIBA,Independent,2605,6/6,Result Declared
Liromoba,27,PESI JILEN,National People's Party,NYAMAR KARBAK,Bharatiya Janata Party,1698,4/4,Result Declared
Longding-Pumao,59,THANGWANG WANGHAM,National People's Party,TANPHO WANGNAW,Bharatiya Janata Party,169,3/3,Result Declared
Lumla,1,TSERING LHAMU,Bharatiya Janata Party,JAMPA THIRNLY KUNKHAP,Indian National Congress,1531,5/5,Result Declared
Mariyang,40,ONI PANYANG,National People's Party,OLOM PANYANG,Bharatiya Janata Party,673,3/3,Result Declared
Mebo,39,OKEN TAYENG,People's Party of Arunachal,LOMBO TAYENG,Bharatiya Janata Party,1017,3/3,Result Declared
Mechuka,33,PASANG DORJEE SONA,Bharatiya Janata Party,AJU CHIJE,Nationalist Congress Party,2558,3/3,Result Declared
Miao,50,KAMLUNG MOSANG,Bharatiya Janata Party,CHATU LONGRI,Indian National Congress,3127,6/6,Result Declared
Mukto,3,PEMA KHANDU,Bharatiya Janata Party,-,-,-,-,Uncontested
Nacho,22,NAKAP NALO,Bharatiya Janata Party,TANGA BYALING,Indian National Congress,1373,4/4,Result Declared
Nampong,51,LAISAM SIMAI,Independent,IZMIR TIKHAK,Bharatiya Janata Party,68,6/6,Result Declared
Namsai,47,CHAU ZINGNU NAMCHOOM,Bharatiya Janata Party,LIKHA SAAYA,Nationalist Congress Party,8556,6/6,Result Declared
Namsang,54,WANGKI LOWANG,Bharatiya Janata Party,NGONGLIN BOI,Nationalist Congress Party,56,4/4,Result Declared
Nari Koyu(ST),36,TOJIR KADU,Bharatiya Janata Party,GEGONG APANG,Arunachal Democratic Party,1649,5/5,Result Declared
Nyapin,19,TAI NIKIO,Bharatiya Janata Party,TADAR MANGKU,People's Party of Arunachal,1182,5/5,Result Declared
