S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,TANMOY BHATTACHARYA,Communist Party of India  (Marxist),26567,168,26735,16.62
2,SAJAL GHOSH,Bharatiya Janata Party,60881,222,61103,37.98
3,SAYANTIKA BANERJEE,All India Trinamool Congress,68899,352,69251,43.04
4,CHITRAPARNA MONDAL,Bharatiya Nyay-Adhikar Raksha Party,510,1,511,0.32
5,SAMAR KRISHNA SINGHA,Socialist Unity Centre Of India (COMMUNIST),408,2,410,0.25
6,PRASENJIT DEY,Independent,224,0,224,0.14
7,SHUBHRANGSHU BHAKTA,Independent,545,0,545,0.34
8,SAJAL KUMAR GHOSH,Independent,427,1,428,0.27
9,NOTA,None of the Above,1666,12,1678,1.04
 ,Total, ,160127,758,160885, 
