Constituency,Const. No.,Leading Candidate,Leading Party,Trailing Candidate,Trailing Party,Margin,Round,Status
Anandapur,22,ABHIMANYU SETHI,Biju Janata Dal,JAYADEV JENA,Indian National Congress,10966,25/25,Result Declared
Angul,61,PRATAP CHANDRA PRADHAN,Bharatiya Janata Party,SANJUKTA SINGH,Biju Janata Dal,17433,21/21,Result Declared
Aska,128,SAROJ KUMAR PADHI,Bharatiya Janata Party,MANJULA SWAIN,Biju Janata Dal,8059,15/15,Result Declared
Athagarh,89,RANENDRA PRATAP SWAIN,Biju Janata Dal,ABHAYA KUMAR BARIK,Bharatiya Janata Party,3584,19/19,Result Declared
Athamallik,63,NALINI KANTA PRADHAN,Biju Janata Dal,SANJEEB KUMAR SAHOO,Bharatiya Janata Party,16153,21/21,Result Declared
Attabira,4,NIHAR RANJAN MAHANAND,Bharatiya Janata Party,SNEHANGINI CHHURIA,Biju Janata Dal,28910,19/19,Result Declared
Aul,98,PRATAP KESHARI DEB,Biju Janata Dal,DEBASMITA SHARMA,Indian National Congress,19628,32/32,Result Declared
Badasahi,32,SANATAN BIJULI,Bharatiya Janata Party,ANASUYA PATRA,Biju Janata Dal,37387,20/20,Result Declared
Balasore,38,MANAS KUMAR DUTTA,Bharatiya Janata Party,SWARUP KUMAR DAS,Biju Janata Dal,28626,18/18,Result Declared
Baliguda,82,CHAKRAMANI KANHAR,Biju Janata Dal,UPENDRA PRADHAN,Indian National Congress,1671,19/19,Result Declared
Balikuda-Erasama,103,SARADA PRASANNA JENA,Biju Janata Dal,SATYA SARATHI MOHANTY,Bharatiya Janata Party,25959,18/18,Result Declared
Bangriposi,29,SANJALI MURMU,Bharatiya Janata Party,RANJITA MARNDI,Biju Janata Dal,34476,26/26,Result Declared
Banki,88,DEVI RANJAN TRIPATHY,Biju Janata Dal,TUSARA KANTA CHAKRABARTY,Bharatiya Janata Party,17026,18/18,Result Declared
Barabati-Cuttack,90,SOFIA FIRDOUS,Indian National Congress,PURNA CHANDRA MAHAPATRA,Bharatiya Janata Party,8001,18/18,Result Declared
Barachana,50,AMAR KUMAR NAYAK,Bharatiya Janata Party,VARSHA PRIYADARSHINI,Biju Janata Dal,6310,19/19,Result Declared
Baramba,87,BIJAYA KUMAR DALABEHERA,Independent,DEBIPRASAD MISHRA,Biju Janata Dal,23479,22/22,Result Declared
Bargarh,3,ASHWINI KUMAR SARANGI,Bharatiya Janata Party,DEBESH ACHARYA,Biju Janata Dal,4772,17/17,Result Declared
Bari,49,BISWA RANJAN MALLICK,Biju Janata Dal,UMESH CHANDRA JENA,Bharatiya Janata Party,51465,19/19,Result Declared
Baripada,33,PRAKASH SOREN,Bharatiya Janata Party,SANANDA MARNDI,Biju Janata Dal,29385,27/27,Result Declared
Basta,37,SUBASINI JENA,Biju Janata Dal,BIJAN NAYAK,Indian National Congress,20377,26/26,Result Declared
