Constituency,Const. No.,Leading Candidate,Leading Party,Trailing Candidate,Trailing Party,Margin,Round,Status
Brajarajnagar,6,SURESH PUJARI,Bharatiya Janata Party,ALAKA MOHANTY,Biju Janata Dal,26789,19/19,Result Declared
Champua,25,SANATAN MAHAKUD,Biju Janata Dal,MURALI MANOHAR SHARMA,Bharatiya Janata Party,39994,19/19,Result Declared
Chandabali,47,BYOMAKESH RAY,Biju Janata Dal,MANMOHAN SAMAL,Bharatiya Janata Party,1916,20/20,Result Declared
Chhatrapur,127,KRUSHNA CHANDRA NAYAK,Bharatiya Janata Party,SUBASH CHANDRA BEHERA,Biju Janata Dal,11438,19/19,Result Declared
Chhendipada,62,AGASTI BEHERA,Bharatiya Janata Party,SUSANTA KUMAR BEHERA,Biju Janata Dal,15063,20/20,Result Declared
Chikiti,135,MANORANJAN DYAN SAMANTARA,Bharatiya Janata Party,CHINMAYANANDA SRIRUP DEB,Biju Janata Dal,6522,18/18,Result Declared
Chilika,118,PRITHIVIRAJ HARICHANDAN,Bharatiya Janata Party,RAGHUNATH SAHU,Biju Janata Dal,4566,18/18,Result Declared
Chitrakonda,147,MANGU KHILLA,Indian National Congress,DAMBARU SISA,Bharatiya Janata Party,9159,31/31,Result Declared
Choudwar-Cuttack,91,SOUVIC BISWAL,Biju Janata Dal,NAYAN KISHORE MOHANTY,Bharatiya Janata Party,17816,22/22,Result Declared
Cuttack Sadar,93,PRAKASH CHANDRA SETHI,Bharatiya Janata Party,CHANDRA SARATHI BEHERA,Biju Janata Dal,3809,26/26,Result Declared
Dabugam,76,MANOHAR RANDHARI,Biju Janata Dal,LIPIKA MAJHI,Indian National Congress,21455,25/25,Result Declared
Daspalla,121,RAMESH CHANDRA BEHERA,Biju Janata Dal,RAGHAB MALIK,Bharatiya Janata Party,6296,18/18,Result Declared
Deogarh,19,ROMANCHA RANJAN BISWAL,Biju Janata Dal,SUBASH CHANDRA PANIGRAHI,Bharatiya Janata Party,15792,27/27,Result Declared
Dhamnagar,46,SURYABANSHI SURAJ STHITAPRAJNA,Bharatiya Janata Party,SANJAYA KUMAR DAS,Biju Janata Dal,8095,19/19,Result Declared
Dharamgarh,79,SUDHIR RANJAN PATTJOSHI,Bharatiya Janata Party,PUSPENDRA SINGH DEO,Biju Janata Dal,18927,23/23,Result Declared
Dharmasala,51,HIMANSHU SEKHAR SAHOO F-LATE RAMESH CHANDRA SAHOO,Independent,PRANAB KUMAR BALABANTARAY,Biju Janata Dal,4150,22/22,Result Declared
Dhenkanal,55,KRUSHNA CHANDRA PATRA,Bharatiya Janata Party,SUDHIR KUMAR SAMAL,Biju Janata Dal,20439,28/28,Result Declared
Digapahandi,134,SIDHANT MOHAPATRA,Bharatiya Janata Party,BIPLAB PATRO,Biju Janata Dal,16847,20/20,Result Declared
Ekamra-Bhubaneswar,114,BABU SINGH,Bharatiya Janata Party,ASHOK CHANDRA PANDA,Biju Janata Dal,5023,21/21,Result Declared
G. Udayagiri,83,PRAFULLA CHANDRA PRADHAN,Indian National Congress,MANAGOBINDA PRADHAN,Bharatiya Janata Party,7857,23/23,Result Declared
