Constituency,Const. No.,Leading Candidate,Leading Party,Trailing Candidate,Trailing Party,Margin,Round,Status
ARITHANG,26,ARUN KUMAR UPRETI,Sikkim Krantikari Morcha,ASHIS RAI,Sikkim Democratic Front,2729,3/3,Result Declared
BARFUNG,9,RIKSHAL DORJEE BHUTIA,Sikkim Krantikari Morcha,BHAICHUNG BHUTIA,Sikkim Democratic Front,4346,3/3,Result Declared
CHUJACHEN,20,PURAN KR. GURUNG,Sikkim Krantikari Morcha,MANI KUMAR GURUNG,Sikkim Democratic Front,3334,4/4,Result Declared
DARAMDIN,6,MINGMA NORBU SHERPA,Sikkim Krantikari Morcha,PEM NORBU SHERPA,Sikkim Democratic Front,5975,3/3,Result Declared
DJONGU,30,PINTSO NAMGYAL LEPCHA,Sikkim Krantikari Morcha,SONAM GYATSO LEPCHA,Sikkim Democratic Front,5007,5/5,Result Declared
GANGTOK,27,DELAY NAMGYAL BARFUNGPA,Sikkim Krantikari Morcha,PINTSO CHOPEL LEPCHA,Sikkim Democratic Front,2692,3/3,Result Declared
GNATHANG-MACHONG,21,PAMIN LEPCHA,Sikkim Krantikari Morcha,TSHERING WANGDI LEPCHA,Sikkim Democratic Front,3807,3/3,Result Declared
GYALSHING-BARNYAK,4,LOK NATH SHARMA,Sikkim Krantikari Morcha,KHUSANDRA PRASAD SHARMA,Independent,963,3/3,Result Declared
KABI LUNGCHUK,29,THENLAY TSHERING BHUTIA,Sikkim Krantikari Morcha,GNAWO CHOPEL LEPCHA,Sikkim Democratic Front,1693,4/4,Result Declared
KHAMDONG-SINGTAM,17,NAR BAHADUR DAHAL,Sikkim Krantikari Morcha,MANI KUMAR SHARMA,Sikkim Democratic Front,1739,3/3,Result Declared
LACHEN MANGAN,31,SAMDUP LEPCHA,Sikkim Krantikari Morcha,HISHEY LACHUNGPA,Sikkim Democratic Front,851,3/3,Result Declared
MANEYBONG-DENTAM,3,SUDESH KUMAR SUBBA,Sikkim Krantikari Morcha,TIKA RAM CHETTRI,Sikkim Democratic Front,6039,3/3,Result Declared
MARTAM-RUMTEK,24,SONAM TSH. VENCHUNGPA,Sikkim Krantikari Morcha,MECHUNG BHUTIA,Sikkim Democratic Front,2762,4/4,Result Declared
MELLI,12,NAR BAHADUR PRADHAN,Sikkim Krantikari Morcha,GANESH KUMAR RAI,Citizen Action Party-Sikkim,4283,3/3,Result Declared
NAMCHEYBUNG,22,RAJU BASNET,Sikkim Krantikari Morcha,PAWAN KUMAR CHAMLING,Sikkim Democratic Front,2256,4/4,Result Declared
NAMCHI-SINGHITHANG,11,KRISHNA KUMARI RAI,Sikkim Krantikari Morcha,BIMAL RAI,Sikkim Democratic Front,5302,3/3,Result Declared
NAMTHANG-RATEYPANI,13,SANJEET KHAREL,Sikkim Krantikari Morcha,SUMAN PRADHAN,Sikkim Democratic Front,5605,3/3,Result Declared
POKLOK-KAMRANG,10,BHOJ RAJ RAI,Sikkim Krantikari Morcha,PAWAN KUMAR CHAMLING,Sikkim Democratic Front,3063,3/3,Result Declared
RANGANG-YANGANG,15,RAJ KUMARI THAPA,Sikkim Krantikari Morcha,MANI KUMAR SUBBA,Sikkim Democratic Front,1201,3/3,Result Declared
RHENOCK,19,P S TAMANG,Sikkim Krantikari Morcha,SOM NATH POUDYAL,Sikkim Democratic Front,7044,4/4,Result Declared
