Constituency,Const. No.,Leading Candidate,Leading Party,Trailing Candidate,Trailing Party,Margin,Round,Status
RINCHENPONG,5,ERUNG TENZING LEPCHA,Sikkim Krantikari Morcha,NORDEN BHUTIA,Sikkim Democratic Front,6400,3/3,Result Declared
SALGHARI-ZOOM,8,MADAN CINTURY,Sikkim Krantikari Morcha,JANGA BIR DARNAL,Sikkim Democratic Front,2712,2/2,Result Declared
SANGHA,32,SONAM LAMA,Sikkim Krantikari Morcha,TSETEN TASHI BHUTIA,Bharatiya Janata Party,865,3/3,Result Declared
SHYARI,23,TENZING NORBU LAMTHA,Sikkim Democratic Front,KUNGA NIMA LEPCHA,Sikkim Krantikari Morcha,1314,3/3,Result Declared
SORENG-CHAKUNG,7,P S TAMANG,Sikkim Krantikari Morcha,DR. A D SUBBA,Sikkim Democratic Front,7396,3/3,Result Declared
TEMI-NAMPHING,14,BEDU SINGH PANTH,Sikkim Krantikari Morcha,SUMAN KUMAR TEWARI,Sikkim Democratic Front,3558,3/3,Result Declared
TUMEN-LINGI,16,SAMDUP TSHERING BHUTIA,Sikkim Krantikari Morcha,NORZONG LEPCHA,Sikkim Democratic Front,4088,4/4,Result Declared
UPPER BURTUK,28,KALA RAI,Sikkim Krantikari Morcha,DILLI RAM THAPA,Bharatiya Janata Party,2568,3/3,Result Declared
UPPER TADONG,25,G.T. DHUNGEL,Sikkim Krantikari Morcha,DR. CHANDRA BAHADUR CHETTRI,Sikkim Democratic Front,4089,4/4,Result Declared
WEST PENDAM,18,LALL BAHADUR DAS,Sikkim Krantikari Morcha,ANUP THATAL,Sikkim Democratic Front,1952,3/3,Result Declared
YANGTHANG,2,BHIM HANG LIMBOO,Sikkim Krantikari Morcha,KESHAM LIMBOO,Sikkim Democratic Front,2556,3/3,Result Declared
YUKSOM TASHIDING,1,TSHERING THENDUP BHUTIA,Sikkim Krantikari Morcha,MEEWANG GYATSO BHUTIA,Sikkim Democratic Front,4812,3/3,Result Declared
